timestamp,cpu_usage_percent,type
2025-12-23 21:36:58,20.00740740740689,actual
2025-12-23 21:37:13,19.91481481481432,actual
2025-12-23 21:37:28,20.000000000000018,actual
2025-12-23 21:37:43,19.77777777777833,actual
2025-12-23 21:37:58,20.23703703703683,actual
2025-12-23 21:38:13,19.651851851851674,actual
2025-12-23 21:38:28,20.362962962962804,actual
2025-12-23 21:38:43,20.44444444444473,actual
2025-12-23 21:38:58,20.79981630446176,actual
2025-12-23 21:39:13,19.722222222222907,actual
2025-12-23 21:39:28,19.659259259259244,actual
2025-12-23 21:39:43,19.5223491414424,actual
2025-12-23 21:39:58,20.309016435941206,actual
2025-12-23 21:40:13,19.55555555555529,actual
2025-12-23 21:40:28,19.896296296296068,actual
2025-12-23 21:40:43,19.32054729574506,actual
2025-12-23 21:40:58,20.63333333333437,actual
2025-12-23 21:41:13,20.07037037037057,actual
2025-12-23 21:41:28,20.62592592592613,actual
2025-12-23 21:41:43,19.533333333333257,actual
2025-12-23 21:41:58,19.70535297646841,actual
2025-12-23 21:42:13,20.34814814814901,actual
2025-12-23 21:42:28,21.684962149830035,actual
2025-12-23 21:42:43,21.60370370370368,actual
2025-12-23 21:42:58,21.044444444443663,actual
2025-12-23 21:43:13,20.68906766226677,actual
2025-12-23 21:43:28,21.105851501209848,actual
2025-12-23 21:43:43,20.514814814814606,actual
2025-12-23 21:43:58,19.877777777777823,actual
2025-12-23 21:44:13,19.370370370372136,actual
2025-12-23 21:44:28,19.940740740740804,actual
2025-12-23 21:44:43,19.81111111111105,actual
2025-12-23 21:44:58,20.944444444444187,actual
2025-12-23 21:45:13,21.077777777778405,actual
2025-12-23 21:45:28,22.051612520924568,actual
2025-12-23 21:45:43,21.018518518517848,actual
2025-12-23 21:45:58,21.03703703703679,actual
2025-12-23 21:46:13,20.244603463857004,actual
2025-12-23 21:46:28,20.88148148148253,actual
2025-12-23 21:46:43,20.32962962962942,actual
2025-12-23 21:46:58,20.62927739756544,actual
2025-12-23 21:47:13,20.852556706193646,forecast
2025-12-23 21:47:28,20.87694668936627,forecast
2025-12-23 21:47:43,20.9013366725389,forecast
2025-12-23 21:47:58,20.925726655711525,forecast
2025-12-23 21:48:13,20.950116638884154,forecast
2025-12-23 21:48:28,20.97450662205678,forecast
2025-12-23 21:48:43,20.998896605229405,forecast
2025-12-23 21:48:58,21.023286588402033,forecast
2025-12-23 21:49:13,21.04767657157466,forecast
2025-12-23 21:49:28,21.072066554747284,forecast
